x,y,z,yaw,m1,m2,m3,m4,roll,pitch,yaw
-0.0513497393199,-0.00580381527763,0.0445,9.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0513497393199,-0.00580381527763,0.0445,9.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0513497393199,-0.00580381527763,0.0445,9.04,45897.0,47047.0,45977.0,47263.0,0.0,0.0,0.0
-0.0513497393199,-0.00580381527763,0.0445,9.04,45859.0,47105.0,46031.0,47193.0,0.0,0.0,0.0
-0.0513497393199,-0.00580381527763,0.0445,9.04,45834.0,47104.0,46044.0,47206.0,0.0,0.0,0.0
-0.0513497393199,-0.00580381527763,0.0445,9.04,45632.0,47298.0,45826.0,47436.0,0.0,0.0,0.0
-0.0499752644499,-0.00507177909223,0.0443,8.85,45623.0,47365.0,45741.0,47467.0,0.0,0.0,0.0
-0.0499752644499,-0.00507177909223,0.0443,8.85,45623.0,47365.0,45741.0,47467.0,0.0,0.0,0.0
-0.0499752644499,-0.00507177909223,0.0443,8.85,46254.0,47050.0,46142.0,46758.0,0.0,0.0,0.0
-0.0499752644499,-0.00507177909223,0.0443,8.85,46215.0,47279.0,46395.0,47255.0,0.0,0.0,0.0
-0.0499752644499,-0.00507177909223,0.0443,8.85,46215.0,47279.0,46395.0,47255.0,0.0,0.0,0.0
-0.0499752644499,-0.00507177909223,0.0443,8.85,46619.0,46739.0,46873.0,46921.0,0.0,0.0,0.0
-0.0487354299491,-0.00400722693059,0.0441,8.54,47580.0,46920.0,46006.0,46650.0,0.0,0.0,0.0
-0.0487354299491,-0.00400722693059,0.0441,8.54,48318.0,47660.0,44812.0,46374.0,0.0,0.0,0.0
-0.0487354299491,-0.00400722693059,0.0441,8.54,47640.0,47486.0,45576.0,46470.0,0.0,0.0,0.0
-0.0487354299491,-0.00400722693059,0.0441,8.54,47619.0,48425.0,45217.0,45951.0,0.0,0.0,0.0
-0.0487354299491,-0.00400722693059,0.0441,8.54,47619.0,48425.0,45217.0,45951.0,0.0,0.0,0.0
-0.0497990842323,-0.0038666794049,0.0441,8.4,48086.0,50492.0,43858.0,44784.0,0.0,0.0,0.0
-0.0497990842323,-0.0038666794049,0.0441,8.4,48086.0,50492.0,43858.0,44784.0,0.0,0.0,0.0
-0.0497990842323,-0.0038666794049,0.0441,8.4,49606.0,50490.0,41828.0,44868.0,0.0,0.0,0.0
-0.0497990842323,-0.0038666794049,0.0441,8.4,49606.0,50490.0,41828.0,44868.0,0.0,0.0,0.0
-0.0497990842323,-0.0038666794049,0.0441,8.4,50484.0,48938.0,40678.0,46696.0,0.0,0.0,0.0
-0.0497990842323,-0.0038666794049,0.0441,8.4,51310.0,48546.0,40444.0,46508.0,0.0,0.0,0.0
-0.0488847111352,-0.00477650680187,0.044,7.72,51310.0,48546.0,40444.0,46508.0,0.0,0.0,0.0
-0.0488847111352,-0.00477650680187,0.044,7.72,50644.0,48936.0,40038.0,47194.0,0.0,0.0,0.0
-0.0488847111352,-0.00477650680187,0.044,7.72,50013.0,48435.0,41123.0,47245.0,0.0,0.0,0.0
-0.0488847111352,-0.00477650680187,0.044,7.72,49462.0,48114.0,42128.0,47364.0,0.0,0.0,0.0
-0.0488847111352,-0.00477650680187,0.044,7.72,49019.0,47741.0,42739.0,47573.0,0.0,0.0,0.0
-0.0488847111352,-0.00477650680187,0.044,7.72,48447.0,47701.0,42977.0,47955.0,0.0,0.0,0.0
-0.049272052485,-0.0115049921302,0.0543,5.65,48447.0,47701.0,42977.0,47955.0,0.0,0.0,0.0
-0.049272052485,-0.0115049921302,0.0543,5.65,47822.0,47134.0,43904.0,48228.0,0.0,0.0,0.0
-0.049272052485,-0.0115049921302,0.0543,5.65,47822.0,47134.0,43904.0,48228.0,0.0,0.0,0.0
-0.049272052485,-0.0115049921302,0.0543,5.65,42146.0,42008.0,39158.0,42156.0,0.0,0.0,0.0
-0.049272052485,-0.0115049921302,0.0543,5.65,41632.0,42058.0,40212.0,41574.0,0.0,0.0,0.0
-0.049272052485,-0.0115049921302,0.0543,5.65,41632.0,42058.0,40212.0,41574.0,0.0,0.0,0.0
-0.049272052485,-0.0115049921302,0.0543,5.65,40863.0,42525.0,41099.0,40997.0,0.0,0.0,0.0
-0.0499556896966,-0.0161848406522,0.0717,7.54,40386.0,43136.0,40920.0,41050.0,0.0,0.0,0.0
-0.0499556896966,-0.0161848406522,0.0717,7.54,40386.0,43136.0,40920.0,41050.0,0.0,0.0,0.0
-0.0499556896966,-0.0161848406522,0.0717,7.54,40689.0,43145.0,41043.0,40619.0,0.0,0.0,0.0
-0.0499556896966,-0.0161848406522,0.0717,7.54,35815.0,40693.0,36601.0,37431.0,0.0,0.0,0.0
-0.0499556896966,-0.0161848406522,0.0717,7.54,36376.0,40428.0,36642.0,37106.0,0.0,0.0,0.0
-0.0468021402174,-0.0239365760097,0.108,8.78,36376.0,40428.0,36642.0,37106.0,0.0,0.0,0.0
-0.0468021402174,-0.0239365760097,0.108,8.78,36805.0,40165.0,35993.0,37601.0,0.0,0.0,0.0
-0.0468021402174,-0.0239365760097,0.108,8.78,36805.0,40165.0,35993.0,37601.0,0.0,0.0,0.0
-0.0468021402174,-0.0239365760097,0.108,8.78,29334.0,32430.0,28202.0,30034.0,0.0,0.0,0.0
-0.0468021402174,-0.0239365760097,0.108,8.78,29389.0,32313.0,28125.0,30173.0,0.0,0.0,0.0
-0.0468021402174,-0.0239365760097,0.108,8.78,29389.0,32313.0,28125.0,30173.0,0.0,0.0,0.0
-0.0389633758375,-0.038848234752,0.1693,7.84,30320.0,31672.0,27816.0,30192.0,0.0,0.0,0.0
-0.0389633758375,-0.038848234752,0.1693,7.84,30320.0,31672.0,27816.0,30192.0,0.0,0.0,0.0
-0.0389633758375,-0.038848234752,0.1693,7.84,30338.0,31290.0,28010.0,30362.0,0.0,0.0,0.0
-0.0389633758375,-0.038848234752,0.1693,7.84,30338.0,31290.0,28010.0,30362.0,0.0,0.0,0.0
-0.0389633758375,-0.038848234752,0.1693,7.84,30338.0,31290.0,28010.0,30362.0,0.0,0.0,0.0
-0.0314737428124,-0.0573048297561,0.218,8.18,30910.0,30676.0,28318.0,30096.0,0.0,0.0,0.0
-0.0314737428124,-0.0573048297561,0.218,8.18,30112.0,29930.0,28436.0,31522.0,0.0,0.0,0.0
-0.0314737428124,-0.0573048297561,0.218,8.18,29684.0,29908.0,29016.0,31392.0,0.0,0.0,0.0
-0.0314737428124,-0.0573048297561,0.218,8.18,29547.0,30373.0,29021.0,31059.0,0.0,0.0,0.0
-0.0314737428124,-0.0573048297561,0.218,8.18,30141.0,30513.0,28843.0,30503.0,0.0,0.0,0.0
-0.0314737428124,-0.0573048297561,0.218,8.18,30141.0,30513.0,28843.0,30503.0,0.0,0.0,0.0
-0.0202433710114,-0.0797813006293,0.2856,8.52,30703.0,29831.0,28037.0,31429.0,0.0,0.0,0.0
-0.0202433710114,-0.0797813006293,0.2856,8.52,29790.0,29682.0,28904.0,31624.0,0.0,0.0,0.0
-0.0202433710114,-0.0797813006293,0.2856,8.52,29689.0,30373.0,29271.0,30667.0,0.0,0.0,0.0
-0.0202433710114,-0.0797813006293,0.2856,8.52,30618.0,30826.0,28452.0,30104.0,0.0,0.0,0.0
-0.0202433710114,-0.0797813006293,0.2856,8.52,30585.0,30691.0,28193.0,30531.0,0.0,0.0,0.0
-0.0106723148319,-0.104595705916,0.3287,8.77,30585.0,30691.0,28193.0,30531.0,0.0,0.0,0.0
-0.0106723148319,-0.104595705916,0.3287,8.77,30585.0,30691.0,28193.0,30531.0,0.0,0.0,0.0
-0.0106723148319,-0.104595705916,0.3287,8.77,30723.0,30757.0,28495.0,30025.0,0.0,0.0,0.0
-0.0106723148319,-0.104595705916,0.3287,8.77,30378.0,30556.0,28582.0,30484.0,0.0,0.0,0.0
-0.0106723148319,-0.104595705916,0.3287,8.77,29141.0,30819.0,29671.0,30369.0,0.0,0.0,0.0
-0.0106723148319,-0.104595705916,0.3287,8.77,29525.0,31309.0,29405.0,29761.0,0.0,0.0,0.0
0.000333818871799,-0.13133765098,0.3682,8.04,30291.0,31057.0,28817.0,29835.0,0.0,0.0,0.0
0.000333818871799,-0.13133765098,0.3682,8.04,30291.0,31057.0,28817.0,29835.0,0.0,0.0,0.0
0.000333818871799,-0.13133765098,0.3682,8.04,28808.0,30800.0,30150.0,30242.0,0.0,0.0,0.0
0.000333818871799,-0.13133765098,0.3682,8.04,28808.0,30800.0,30150.0,30242.0,0.0,0.0,0.0
0.000333818871799,-0.13133765098,0.3682,8.04,30018.0,30502.0,29324.0,30156.0,0.0,0.0,0.0
0.000333818871799,-0.13133765098,0.3682,8.04,28759.0,30677.0,30487.0,30077.0,0.0,0.0,0.0
0.000333818871799,-0.13133765098,0.3682,8.04,28759.0,30677.0,30487.0,30077.0,0.0,0.0,0.0
0.0122302127955,-0.158593416935,0.405,8.08,29227.0,30657.0,30147.0,29969.0,0.0,0.0,0.0
0.0122302127955,-0.158593416935,0.405,8.08,29213.0,30145.0,29867.0,30775.0,0.0,0.0,0.0
0.0122302127955,-0.158593416935,0.405,8.08,28961.0,30345.0,30297.0,30397.0,0.0,0.0,0.0
0.0122302127955,-0.158593416935,0.405,8.08,29617.0,30849.0,28959.0,30575.0,0.0,0.0,0.0
0.0122302127955,-0.158593416935,0.405,8.08,29617.0,30849.0,28959.0,30575.0,0.0,0.0,0.0
0.00813278751962,-0.191703045795,0.4062,9.97,28879.0,30511.0,29879.0,30731.0,0.0,0.0,0.0
0.00813278751962,-0.191703045795,0.4062,9.97,28879.0,30511.0,29879.0,30731.0,0.0,0.0,0.0
0.00813278751962,-0.191703045795,0.4062,9.97,34047.0,36341.0,33627.0,36733.0,0.0,0.0,0.0
0.00813278751962,-0.191703045795,0.4062,9.97,33747.0,36681.0,34075.0,36245.0,0.0,0.0,0.0
0.00813278751962,-0.191703045795,0.4062,9.97,34098.0,36490.0,33898.0,36262.0,0.0,0.0,0.0
0.0245005723783,-0.223536869337,0.4286,8.56,34098.0,36490.0,33898.0,36262.0,0.0,0.0,0.0
0.0245005723783,-0.223536869337,0.4286,8.56,33548.0,36406.0,34104.0,36690.0,0.0,0.0,0.0
0.0245005723783,-0.223536869337,0.4286,8.56,33941.0,36755.0,34065.0,35987.0,0.0,0.0,0.0
0.0245005723783,-0.223536869337,0.4286,8.56,33941.0,36755.0,34065.0,35987.0,0.0,0.0,0.0
0.0245005723783,-0.223536869337,0.4286,8.56,29783.0,30499.0,28981.0,30737.0,0.0,0.0,0.0
0.0245005723783,-0.223536869337,0.4286,8.56,29783.0,30499.0,28981.0,30737.0,0.0,0.0,0.0
0.0417853475708,-0.271130069761,0.4442,7.91,29184.0,30758.0,29646.0,30412.0,0.0,0.0,0.0
0.0417853475708,-0.271130069761,0.4442,7.91,29934.0,31118.0,29194.0,29754.0,0.0,0.0,0.0
0.0417853475708,-0.271130069761,0.4442,7.91,29934.0,31118.0,29194.0,29754.0,0.0,0.0,0.0
0.0417853475708,-0.271130069761,0.4442,7.91,29781.0,31429.0,28447.0,30343.0,0.0,0.0,0.0
0.0417853475708,-0.271130069761,0.4442,7.91,28862.0,31298.0,29370.0,30470.0,0.0,0.0,0.0
0.0417853475708,-0.271130069761,0.4442,7.91,29062.0,31206.0,29484.0,30248.0,0.0,0.0,0.0
0.0552227992448,-0.302863488132,0.451,7.66,29062.0,31206.0,29484.0,30248.0,0.0,0.0,0.0
0.0552227992448,-0.302863488132,0.451,7.66,29119.0,30773.0,29053.0,31055.0,0.0,0.0,0.0
0.0552227992448,-0.302863488132,0.451,7.66,29841.0,31225.0,29491.0,31567.0,0.0,0.0,0.0
0.0552227992448,-0.302863488132,0.451,7.66,29841.0,31225.0,29491.0,31567.0,0.0,0.0,0.0
0.0552227992448,-0.302863488132,0.451,7.66,29841.0,31225.0,29491.0,31567.0,0.0,0.0,0.0
0.0598536169996,-0.338659703142,0.4498,8.86,28920.0,31592.0,30164.0,31448.0,0.0,0.0,0.0
0.0598536169996,-0.338659703142,0.4498,8.86,29194.0,31224.0,30132.0,31570.0,0.0,0.0,0.0
0.0598536169996,-0.338659703142,0.4498,8.86,33720.0,35968.0,34032.0,37288.0,0.0,0.0,0.0
0.0598536169996,-0.338659703142,0.4498,8.86,33243.0,36069.0,34589.0,37107.0,0.0,0.0,0.0
0.0598536169996,-0.338659703142,0.4498,8.86,33963.0,36281.0,34257.0,36507.0,0.0,0.0,0.0
0.0735871861609,-0.353298692374,0.4504,6.85,34160.0,36298.0,33738.0,36812.0,0.0,0.0,0.0
0.0735871861609,-0.353298692374,0.4504,6.85,33153.0,36377.0,34407.0,37071.0,0.0,0.0,0.0
0.0735871861609,-0.353298692374,0.4504,6.85,32853.0,36855.0,34845.0,36451.0,0.0,0.0,0.0
0.0735871861609,-0.353298692374,0.4504,6.85,32853.0,36855.0,34845.0,36451.0,0.0,0.0,0.0
0.0735871861609,-0.353298692374,0.4504,6.85,34136.0,35406.0,32786.0,34380.0,0.0,0.0,0.0
0.0735871861609,-0.353298692374,0.4504,6.85,34136.0,35406.0,32786.0,34380.0,0.0,0.0,0.0
0.0735871861609,-0.353298692374,0.4504,6.85,34136.0,35406.0,32786.0,34380.0,0.0,0.0,0.0
0.0735871861609,-0.353298692374,0.4504,6.85,33070.0,35808.0,33668.0,34162.0,0.0,0.0,0.0
0.081090307807,-0.404580093405,0.439,7.94,33333.0,35923.0,33625.0,33827.0,0.0,0.0,0.0
0.081090307807,-0.404580093405,0.439,7.94,33874.0,35786.0,33244.0,33804.0,0.0,0.0,0.0
0.081090307807,-0.404580093405,0.439,7.94,34158.0,35468.0,32982.0,34100.0,0.0,0.0,0.0
0.081090307807,-0.404580093405,0.439,7.94,38543.0,41211.0,37439.0,40731.0,0.0,0.0,0.0
0.081090307807,-0.404580093405,0.439,7.94,38543.0,41211.0,37439.0,40731.0,0.0,0.0,0.0
0.081090307807,-0.404580093405,0.439,7.94,38543.0,41211.0,37439.0,40731.0,0.0,0.0,0.0
0.099306898118,-0.44198894781,0.4051,7.48,38703.0,41241.0,37503.0,40477.0,0.0,0.0,0.0
0.099306898118,-0.44198894781,0.4051,7.48,38703.0,41241.0,37503.0,40477.0,0.0,0.0,0.0
0.099306898118,-0.44198894781,0.4051,7.48,38703.0,41241.0,37503.0,40477.0,0.0,0.0,0.0
0.099306898118,-0.44198894781,0.4051,7.48,47581.0,49227.0,46489.0,48703.0,0.0,0.0,0.0
0.109307392684,-0.474209841636,0.3863,7.19,47581.0,49227.0,46489.0,48703.0,0.0,0.0,0.0
0.109307392684,-0.474209841636,0.3863,7.19,46438.0,49962.0,46804.0,48796.0,0.0,0.0,0.0
0.109307392684,-0.474209841636,0.3863,7.19,46312.0,49888.0,46950.0,48850.0,0.0,0.0,0.0
0.109307392684,-0.474209841636,0.3863,7.19,46571.0,49633.0,47129.0,48667.0,0.0,0.0,0.0
0.109307392684,-0.474209841636,0.3863,7.19,45915.0,50113.0,47219.0,48753.0,0.0,0.0,0.0
0.109307392684,-0.474209841636,0.3863,7.19,45915.0,50113.0,47219.0,48753.0,0.0,0.0,0.0
0.123057381997,-0.515488118909,0.3737,6.13,45973.0,49991.0,47043.0,48993.0,0.0,0.0,0.0
0.123057381997,-0.515488118909,0.3737,6.13,45604.0,50292.0,47286.0,48818.0,0.0,0.0,0.0
0.123057381997,-0.515488118909,0.3737,6.13,45604.0,50292.0,47286.0,48818.0,0.0,0.0,0.0
0.123057381997,-0.515488118909,0.3737,6.13,41864.0,45426.0,42630.0,44648.0,0.0,0.0,0.0
0.123057381997,-0.515488118909,0.3737,6.13,41864.0,45426.0,42630.0,44648.0,0.0,0.0,0.0
0.123057381997,-0.515488118909,0.3737,6.13,42107.0,45483.0,42205.0,44773.0,0.0,0.0,0.0
0.1366587417,-0.53802222846,0.3755,4.8,42107.0,45483.0,42205.0,44773.0,0.0,0.0,0.0
0.1366587417,-0.53802222846,0.3755,4.8,42107.0,45483.0,42205.0,44773.0,0.0,0.0,0.0
0.1366587417,-0.53802222846,0.3755,4.8,43048.0,44936.0,41992.0,44592.0,0.0,0.0,0.0
0.1366587417,-0.53802222846,0.3755,4.8,34938.0,37244.0,33774.0,36828.0,0.0,0.0,0.0
0.1366587417,-0.53802222846,0.3755,4.8,35157.0,37117.0,33721.0,36789.0,0.0,0.0,0.0
0.144412418191,-0.563768377503,0.3654,4.5,35260.0,36982.0,33856.0,36690.0,0.0,0.0,0.0
0.144412418191,-0.563768377503,0.3654,4.5,34645.0,37307.0,33871.0,36965.0,0.0,0.0,0.0
0.144412418191,-0.563768377503,0.3654,4.5,40904.0,43314.0,40072.0,43578.0,0.0,0.0,0.0
0.144412418191,-0.563768377503,0.3654,4.5,40904.0,43314.0,40072.0,43578.0,0.0,0.0,0.0
0.144412418191,-0.563768377503,0.3654,4.5,40926.0,43338.0,40182.0,43422.0,0.0,0.0,0.0
0.144412418191,-0.563768377503,0.3654,4.5,40600.0,43760.0,39922.0,43586.0,0.0,0.0,0.0
0.144412418191,-0.563768377503,0.3654,4.5,40600.0,43760.0,39922.0,43586.0,0.0,0.0,0.0
0.141467812113,-0.592885071608,0.3692,4.97,40567.0,43507.0,40267.0,43527.0,0.0,0.0,0.0
0.141467812113,-0.592885071608,0.3692,4.97,40567.0,43507.0,40267.0,43527.0,0.0,0.0,0.0
0.141467812113,-0.592885071608,0.3692,4.97,40567.0,43507.0,40267.0,43527.0,0.0,0.0,0.0
0.141467812113,-0.592885071608,0.3692,4.97,33289.0,37585.0,32991.0,36871.0,0.0,0.0,0.0
0.166647472346,-0.603852523354,0.4029,2.68,34074.0,36886.0,33124.0,36652.0,0.0,0.0,0.0
0.166647472346,-0.603852523354,0.4029,2.68,33903.0,37115.0,33031.0,36687.0,0.0,0.0,0.0
0.166647472346,-0.603852523354,0.4029,2.68,29230.0,31338.0,28488.0,30944.0,0.0,0.0,0.0
0.166647472346,-0.603852523354,0.4029,2.68,28879.0,31207.0,28995.0,30919.0,0.0,0.0,0.0
0.166647472346,-0.603852523354,0.4029,2.68,28879.0,31207.0,28995.0,30919.0,0.0,0.0,0.0
0.171985557787,-0.642393538193,0.4052,2.0,28691.0,31277.0,29031.0,31001.0,0.0,0.0,0.0
0.171985557787,-0.642393538193,0.4052,2.0,28656.0,31262.0,28976.0,31106.0,0.0,0.0,0.0
0.171985557787,-0.642393538193,0.4052,2.0,33028.0,35926.0,33188.0,35970.0,0.0,0.0,0.0
0.171985557787,-0.642393538193,0.4052,2.0,33028.0,35926.0,33188.0,35970.0,0.0,0.0,0.0
0.171985557787,-0.642393538193,0.4052,2.0,33647.0,35443.0,32843.0,36179.0,0.0,0.0,0.0
0.171985557787,-0.642393538193,0.4052,2.0,33909.0,35215.0,32687.0,36301.0,0.0,0.0,0.0
0.183281451092,-0.658654924589,0.4262,0.69,33939.0,35017.0,32649.0,36507.0,0.0,0.0,0.0
0.183281451092,-0.658654924589,0.4262,0.69,33638.0,35064.0,32852.0,36558.0,0.0,0.0,0.0
0.183281451092,-0.658654924589,0.4262,0.69,33638.0,35064.0,32852.0,36558.0,0.0,0.0,0.0
0.183281451092,-0.658654924589,0.4262,0.69,33331.0,35533.0,33089.0,36159.0,0.0,0.0,0.0
0.185389507765,-0.664820863399,0.4749,-0.18,33502.0,35856.0,32922.0,35832.0,0.0,0.0,0.0
0.185389507765,-0.664820863399,0.4749,-0.18,29537.0,31321.0,28405.0,30737.0,0.0,0.0,0.0
0.185389507765,-0.664820863399,0.4749,-0.18,30457.0,31127.0,27953.0,30463.0,0.0,0.0,0.0
0.185389507765,-0.664820863399,0.4749,-0.18,30457.0,31127.0,27953.0,30463.0,0.0,0.0,0.0
0.185389507765,-0.664820863399,0.4749,-0.18,30020.0,30696.0,28024.0,31260.0,0.0,0.0,0.0
0.185389507765,-0.664820863399,0.4749,-0.18,29631.0,30785.0,28239.0,31345.0,0.0,0.0,0.0
0.184310353123,-0.676684227489,0.4982,-0.77,31044.0,31074.0,27436.0,30446.0,0.0,0.0,0.0
0.184310353123,-0.676684227489,0.4982,-0.77,31241.0,31095.0,27177.0,30487.0,0.0,0.0,0.0
0.184310353123,-0.676684227489,0.4982,-0.77,31241.0,31095.0,27177.0,30487.0,0.0,0.0,0.0
0.184310353123,-0.676684227489,0.4982,-0.77,29940.0,31526.0,27832.0,30702.0,0.0,0.0,0.0
0.186916941793,-0.689979243797,0.5135,-1.59,30947.0,31217.0,27485.0,30351.0,0.0,0.0,0.0
0.186916941793,-0.689979243797,0.5135,-1.59,30298.0,31108.0,27696.0,30898.0,0.0,0.0,0.0
0.186916941793,-0.689979243797,0.5135,-1.59,29936.0,31160.0,27892.0,31012.0,0.0,0.0,0.0
0.186916941793,-0.689979243797,0.5135,-1.59,30662.0,31402.0,27702.0,30234.0,0.0,0.0,0.0
0.151286818183,-0.712647345217,0.5206,0.5,30662.0,31402.0,27702.0,30234.0,0.0,0.0,0.0
0.151286818183,-0.712647345217,0.5206,0.5,30662.0,31402.0,27702.0,30234.0,0.0,0.0,0.0
0.151286818183,-0.712647345217,0.5206,0.5,28919.0,31873.0,27437.0,31771.0,0.0,0.0,0.0
0.151286818183,-0.712647345217,0.5206,0.5,28919.0,31873.0,27437.0,31771.0,0.0,0.0,0.0
0.151286818183,-0.712647345217,0.5206,0.5,29575.0,31911.0,27461.0,31053.0,0.0,0.0,0.0
0.151286818183,-0.712647345217,0.5206,0.5,29575.0,31911.0,27461.0,31053.0,0.0,0.0,0.0
0.151286818183,-0.712647345217,0.5206,0.5,28509.0,31555.0,28285.0,31651.0,0.0,0.0,0.0